,ds,symbol,close,volume,ma50,ma200
7298,2018-12-18,JNJ,130.42,24640293.0,141.4616,132.3581
7299,2018-12-19,JNJ,127.61,21232246.0,141.226,132.35505
7300,2018-12-20,JNJ,128.27,16609796.0,141.0074,132.35119999999998
7301,2018-12-21,JNJ,128.09,19733834.0,140.8146,132.33135
7302,2018-12-24,JNJ,122.84,7523385.0,140.5946,132.27655
7303,2018-12-26,JNJ,126.71,9255104.0,140.4514,132.24695000000003
7304,2018-12-27,JNJ,127.41,9918811.0,140.3206,132.21225
7305,2018-12-28,JNJ,127.27,6537380.0,140.13479999999998,132.187
7306,2018-12-31,JNJ,129.05,7409998.0,139.9266,132.16694999999999
7307,2019-01-02,JNJ,127.75,7631695.0,139.6916,132.13729999999998
7308,2019-01-03,JNJ,125.72,8654695.0,139.425,132.1147
7309,2019-01-04,JNJ,127.83,8832147.0,139.208,132.0978
7310,2019-01-07,JNJ,127.01,8404748.0,138.9696,132.0769
7311,2019-01-08,JNJ,129.96,9351939.0,138.8194,132.08980000000003
7312,2019-01-09,JNJ,128.93,7403715.0,138.62859999999998,132.10895
7313,2019-01-10,JNJ,129.71,6225924.0,138.4834,132.12055
7314,2019-01-11,JNJ,129.75,5300776.0,138.3274,132.13325
7315,2019-01-14,JNJ,128.28,7374463.0,138.078,132.13739999999999
7316,2019-01-15,JNJ,129.36,5194407.0,137.86540000000002,132.14345
7317,2019-01-16,JNJ,128.04,6264350.0,137.6098,132.16085
7318,2019-01-17,JNJ,129.09,7632160.0,137.37800000000001,132.16455
7319,2019-01-18,JNJ,130.69,10593122.0,137.14780000000002,132.16594999999998
7320,2019-01-22,JNJ,128.8,10568578.0,136.8724,132.1564
7321,2019-01-23,JNJ,128.8,9268080.0,136.5534,132.1599
7322,2019-01-24,JNJ,127.03,9917143.0,136.188,132.14765
7323,2019-01-25,JNJ,128.23,7586447.0,135.84580000000003,132.13755
7324,2019-01-28,JNJ,128.99,6927861.0,135.51319999999998,132.13434999999998
7325,2019-01-29,JNJ,130.33,6669449.0,135.2262,132.13385
7326,2019-01-30,JNJ,131.64,7299644.0,134.97400000000002,132.13895
7327,2019-01-31,JNJ,133.08,17298252.0,134.74560000000002,132.14555000000001
7328,2019-02-01,JNJ,134.2,9575350.0,134.5098,132.16385
7329,2019-02-04,JNJ,132.88,7759101.0,134.21280000000002,132.18965
7330,2019-02-05,JNJ,132.88,6449889.0,133.94140000000002,132.21630000000002
7331,2019-02-06,JNJ,133.0,5066434.0,133.76160000000002,132.24800000000002
7332,2019-02-07,JNJ,132.05,6085491.0,133.558,132.2741
7333,2019-02-08,JNJ,132.4,4436968.0,133.3786,132.30515000000003
7334,2019-02-11,JNJ,132.0,4962619.0,133.1542,132.33135000000001
7335,2019-02-12,JNJ,134.16,6262439.0,132.9086,132.3621
7336,2019-02-13,JNJ,134.45,7902332.0,132.6806,132.393
7337,2019-02-14,JNJ,134.31,3910501.0,132.42880000000002,132.4321
7338,2019-02-15,JNJ,136.38,6665238.0,132.2322,132.48395
7339,2019-02-19,JNJ,135.69,5935952.0,132.02540000000002,132.54489999999998
7340,2019-02-20,JNJ,136.35,6090248.0,131.8342,132.6115
