ds,AAPL,GOOG,JNJ,KO,MSFT,NVDA,PG,TSLA
2021-07-08,143.24,129.177,169.08,54.13,277.42,199.0275,136.98,217.6033
2021-07-09,145.11,129.5745,169.75,54.46,277.94,200.5025,137.03,218.9833
2021-07-12,144.5,130.564,169.48,54.48,277.32,205.125,137.14,228.5667
2021-07-13,145.64,130.9945,169.27,55.02,280.98,202.5,136.97,222.8467
2021-07-14,149.15,132.0825,170.42,56.26,282.51,198.415,137.98,217.7933
2021-07-15,148.48,131.2665,168.37,56.44,281.03,189.6625,139.16,216.8667
2021-07-16,146.39,131.8455,168.1,56.4,280.75,181.61,140.51,214.74
2021-07-19,142.45,129.254,166.88,55.73,277.01,187.7975,140.44,215.4067
2021-07-20,146.15,131.1015,168.45,55.83,279.32,186.12,139.69,220.1667
2021-07-21,145.4,132.6005,169.49,56.55,281.4,194.1,139.2,218.43
2021-07-22,146.8,133.3285,169.98,56.47,286.14,195.94,137.8,216.42
2021-07-23,148.56,137.816,171.79,57.01,289.67,195.58,139.79,214.46
2021-07-26,148.99,139.6445,171.87,57.06,289.05,192.94,140.28,219.2067
2021-07-27,146.77,136.7965,172.66,57.26,286.54,192.08,140.85,214.9267
2021-07-28,144.98,136.3815,172.18,56.74,286.22,195.03,138.76,215.66
2021-07-29,145.64,136.5405,172.18,57.05,286.5,196.62,139.48,225.7833
2021-07-30,145.86,135.221,172.2,57.03,284.91,194.99,142.23,229.0667
2021-08-02,145.52,135.9895,172.27,56.88,284.82,197.5,141.88,236.5567
2021-08-03,147.36,136.28,174.39,56.92,287.12,198.15,143.95,236.58
2021-08-04,146.95,136.0285,173.36,56.1,286.51,202.74,142.43,236.9733
2021-08-05,147.06,136.94,173.69,56.5,289.52,206.37,142.5,238.21
2021-08-06,146.14,137.036,173.11,56.64,289.46,203.66,141.41,233.0333
2021-08-09,146.09,138.002,173.71,56.65,288.33,202.95,142.18,237.92
2021-08-10,145.6,138.0965,173.77,56.8,286.44,199.36,142.27,236.6633
2021-08-11,145.86,137.6895,173.8,56.73,286.95,196.99,142.62,235.94
2021-08-12,148.89,138.3895,175.2,56.84,289.81,199.05,142.95,240.75
2021-08-13,149.1,138.406,176.25,57.23,292.85,201.88,143.64,239.0567
2021-08-16,151.12,138.916,177.84,57.48,294.6,199.5,144.64,228.7233
2021-08-17,150.19,137.3005,179.47,57.28,293.08,194.58,144.88,221.9033
2021-08-18,146.36,136.57,177.19,56.5,290.73,190.4,143.3,229.6633
2021-08-19,146.7,136.9135,178.57,56.86,296.77,197.98,144.99,224.49
2021-08-20,148.19,138.437,179.44,56.64,304.36,208.16,145.09,226.7533
2021-08-23,149.71,141.0995,177.61,56.44,304.65,219.58,144.35,235.4333
2021-08-24,149.62,142.3985,175.39,56.01,302.62,217.93,143.18,236.1633
2021-08-25,148.36,142.95,174.23,56.07,302.01,222.13,142.67,237.0667
2021-08-26,147.54,142.123,173.3,55.54,299.09,220.68,142.42,233.72
2021-08-27,148.6,144.5505,172.93,55.65,299.72,226.36,142.31,237.3067
2021-08-30,153.12,145.4695,173.66,56.18,303.59,226.88,142.93,243.6367
2021-08-31,151.83,145.462,173.13,56.31,301.88,223.85,142.39,245.24
2021-09-01,152.51,145.842,173.74,56.69,301.83,224.41,143.84,244.6967
2021-09-02,153.65,144.219,174.93,56.77,301.15,223.96,143.95,244.13
2021-09-03,154.3,144.775,175.04,56.73,301.14,228.43,144.05,244.5233
2021-09-07,156.69,145.519,172.32,55.67,300.18,226.62,143.51,250.9733
2021-09-08,155.11,144.8835,171.9,56.42,300.21,223.39,144.6,251.29
2021-09-09,154.07,144.9135,168.07,55.86,297.25,221.77,143.99,251.62
2021-09-10,148.97,141.921,166.97,55.61,295.71,224.78,144.13,245.4233
2021-09-13,149.55,143.465,165.8,56.07,296.99,221.52,145.68,247.6667
2021-09-14,148.12,143.406,164.8,55.69,299.79,222.42,145.43,248.1633
2021-09-15,149.03,145.206,165.42,55.88,304.82,223.41,145.12,251.9433
2021-09-16,148.79,144.3735,165.22,55.35,305.22,222.42,144.11,252.33
2021-09-17,146.06,141.4635,164.75,54.44,299.87,219.0,144.34,253.1633
2021-09-20,142.94,139.017,163.81,54.06,294.3,211.13,142.89,243.39
2021-09-21,143.43,139.6465,164.53,54.05,294.8,212.46,143.11,246.46
2021-09-22,145.85,140.9385,163.93,54.13,298.58,219.41,143.6,250.6467
2021-09-23,146.83,141.8265,164.86,54.04,299.56,224.82,144.19,251.2133
2021-09-24,146.92,142.633,164.36,53.89,299.35,220.81,143.55,258.13
2021-09-27,145.37,141.501,163.17,53.61,294.17,216.6,141.66,263.7867
2021-09-28,141.91,136.184,162.81,52.64,283.52,206.99,140.59,259.1867
2021-09-29,142.83,134.521,164.02,52.96,284.0,205.17,142.02,260.4367
2021-09-30,141.5,133.2655,161.5,52.47,281.92,207.16,139.8,258.4933
2021-10-01,142.65,136.4625,160.47,53.02,289.1,207.42,139.58,258.4067
2021-10-04,139.14,133.765,159.22,52.99,283.11,197.32,138.79,260.51
2021-10-05,141.11,136.177,159.58,53.08,288.76,204.51,139.33,260.1967
2021-10-06,142.0,137.354,159.91,53.71,293.11,207.0,141.19,260.9167
2021-10-07,143.29,139.1855,161.34,53.88,294.85,210.75,142.32,264.5367
2021-10-08,142.9,140.056,160.93,54.12,294.85,208.31,141.73,261.83
2021-10-11,142.81,138.8475,160.25,54.23,294.23,206.95,142.32,263.98
2021-10-12,141.51,136.713,157.69,54.23,292.88,206.71,142.11,268.5733
2021-10-13,140.91,137.9,159.2,54.24,296.31,209.39,142.44,270.36
2021-10-14,143.76,141.412,160.11,54.61,302.75,217.46,144.05,272.7733
2021-10-15,144.84,141.675,161.3,54.48,304.21,218.62,144.42,281.01
2021-10-18,146.55,142.9605,160.12,53.94,307.29,222.22,142.34,290.0367
2021-10-19,148.76,143.822,163.87,54.15,308.23,222.9,140.66,288.09
2021-10-20,149.26,142.415,163.78,54.63,307.41,221.03,141.21,288.6
2021-10-21,149.48,142.7805,163.4,54.35,310.76,226.92,139.33,298.0
2021-10-22,148.69,138.625,163.72,54.45,309.16,227.26,140.83,303.2267
2021-10-25,148.64,138.773,164.08,54.23,308.13,231.66,140.85,341.62
2021-10-26,149.32,139.672,165.75,54.47,310.11,247.17,142.85,339.4767
2021-10-27,148.85,146.4275,163.74,55.52,323.17,244.51,141.83,345.9533
2021-10-28,152.57,146.129,162.85,56.04,324.35,249.41,142.68,359.0133
2021-10-29,149.8,148.2705,162.88,56.37,331.62,255.67,142.99,371.3333
2021-11-01,148.96,143.774,163.02,56.17,329.37,258.27,142.64,402.8633
2021-11-02,150.02,145.863,165.59,56.1,333.13,264.01,144.06,390.6667
2021-11-03,151.49,146.79,165.06,56.29,334.0,265.98,145.05,404.62
2021-11-04,150.96,148.683,164.6,56.6,336.44,298.01,145.32,409.97
2021-11-05,151.28,149.241,163.43,56.84,336.06,297.52,146.04,407.3633
2021-11-08,150.44,149.3515,162.87,56.33,336.99,308.04,144.95,387.6467
2021-11-09,150.81,149.2485,162.51,56.49,335.95,306.57,145.39,341.1667
